Incident_key,Security_Vulnerability_Type,Defense_Mechanism_Used
1,Unpatched Software,VPN
2,Unpatched Software,Firewall
3,Weak Passwords,VPN
4,Social Engineering,VPN
5,Zero day,VPN
6,Unpatched Software,AI based Detection
7,Zero day,Firewall
8,Social Engineering,Encryption
9,Social Engineering,AI based Detection
10,Unpatched Software,Firewall
11,Zero day,AI based Detection
12,Unpatched Software,Encryption
13,Zero day,Firewall
14,Weak Passwords,AI based Detection
15,Zero day,VPN
16,Zero day,VPN
17,Unpatched Software,VPN
18,Zero day,VPN
19,Zero day,AI based Detection
20,Unpatched Software,AI based Detection
21,Unpatched Software,Firewall
22,Zero day,VPN
23,Zero day,Firewall
24,Social Engineering,Firewall
25,Zero day,Firewall
26,Unpatched Software,Firewall
27,Social Engineering,Firewall
28,Weak Passwords,Antivirus
29,Weak Passwords,Encryption
30,Unpatched Software,Antivirus
31,Unpatched Software,Antivirus
32,Social Engineering,AI based Detection
33,Unpatched Software,Firewall
34,Unpatched Software,Encryption
35,Social Engineering,Encryption
36,Zero day,Antivirus
37,Unpatched Software,Encryption
38,Social Engineering,Encryption
39,Social Engineering,Antivirus
40,Zero day,VPN
41,Weak Passwords,AI based Detection
42,Zero day,VPN
43,Unpatched Software,AI based Detection
44,Social Engineering,AI based Detection
45,Zero day,Firewall
46,Zero day,Encryption
47,Social Engineering,Antivirus
48,Social Engineering,Antivirus
49,Social Engineering,AI based Detection
50,Zero day,VPN
51,Unpatched Software,AI based Detection
52,Social Engineering,VPN
53,Unpatched Software,AI based Detection
54,Zero day,VPN
55,Weak Passwords,Firewall
56,Weak Passwords,Antivirus
57,Zero day,AI based Detection
58,Zero day,Firewall
59,Weak Passwords,Antivirus
60,Unpatched Software,Antivirus
61,Zero day,VPN
62,Social Engineering,Firewall
63,Unpatched Software,AI based Detection
64,Social Engineering,Firewall
65,Unpatched Software,VPN
66,Zero day,Encryption
67,Zero day,Antivirus
68,Unpatched Software,AI based Detection
69,Weak Passwords,Firewall
70,Zero day,Antivirus
71,Weak Passwords,VPN
72,Weak Passwords,Firewall
73,Zero day,AI based Detection
74,Zero day,Firewall
75,Zero day,AI based Detection
76,Zero day,VPN
77,Unpatched Software,AI based Detection
78,Social Engineering,VPN
79,Weak Passwords,Firewall
80,Unpatched Software,Antivirus
81,Weak Passwords,AI based Detection
82,Weak Passwords,AI based Detection
83,Zero day,AI based Detection
84,Zero day,AI based Detection
85,Zero day,VPN
86,Social Engineering,Encryption
87,Weak Passwords,Encryption
88,Weak Passwords,VPN
89,Zero day,AI based Detection
90,Weak Passwords,Firewall
91,Zero day,Firewall
92,Social Engineering,AI based Detection
93,Weak Passwords,VPN
94,Social Engineering,Antivirus
95,Social Engineering,VPN
96,Social Engineering,Antivirus
97,Weak Passwords,Antivirus
98,Zero day,VPN
99,Zero day,VPN
100,Zero day,Encryption
101,Social Engineering,Firewall
102,Social Engineering,AI based Detection
103,Zero day,Antivirus
